名前,クラス,クラブ,実施月,科目
,,,,数学
松原　勇二郎,A,弓道部,201905.0,93
松原 勇二郎,A,弓道部,201908.0,69
吉澤 あきの,A,,201905.0,71
吉澤 あきの,A,,201908.0,76
平山 詩,A,写真部,201905.0,80
平山 詩,A,写真部,201908.0,70
茂木 聖香,A,,201905.0,100
茂木 聖香,A,,201908.0,73
澤田 佐千子,A,文芸部,201905.0,94
澤田 佐千子,A,文芸部,201908.0,61
新田　嘉明,A,,201905.0,49
新田 嘉明,A,,201908.0,65
浜野　秀光,A,弓道部,201905.0,80
浜野 秀光,A,弓道部,201908.0,61
阪本 明優,A,剣道部,201905.0,62
阪本 明優,A,剣道部,201908.0,65
平岡 一眞,A,陸上部,201905.0,63
平岡　一眞,A,陸上部,201908.0,59
寺島 京一朗,A,,201905.0,71
寺島 京一朗,A,,201908.0,47
山本 咲智,A,,201905.0,67
山本 咲智,A,,201908.0,72
米沢 侑希,A,剣道部,201905.0,88
米沢 侑希,A,剣道部,201908.0,64
篠崎 麻樹,A,写真部,201905.0,77
篠崎 麻樹,A,写真部,201908.0,48
橋本 理菜,A,陸上部,201905.0,66
橋本 理菜,A,陸上部,201908.0,76
柴山 尚毅,A,,201908.0,58
前野 麗菜,A,剣道部,201905.0,70
前野 麗菜,A,剣道部,201908.0,70
西沢 匡,A,弓道部,201905.0,88
西沢 匡,A,弓道部,201908.0,79
沼田 悠斗,A,,201905.0,61
沼田 悠斗,A,,201908.0,71
池谷 泰次郎,B,写真部,201905.0,70
池谷 泰次郎,B,写真部,201908.0,84
高田 睦輝,B,陸上部,201905.0,51
高田　睦輝,B,陸上部,201908.0,53
長浜 晟人,B,,201905.0,68
長浜 晟人,B,,201908.0,75
福原 佳光,B,文芸部,201905.0,75
福原 佳光,B,文芸部,201908.0,61
菅谷 英莉佳,B,剣道部,201905.0,78
菅谷 英莉佳,B,剣道部,201908.0,58
小椋 有華,B,,201905.0,53
小椋 有華,B,,201908.0,62
加納 昭信,B,,201908.0,65
植木　京介,B,陸上部,201905.0,41
植木 京介,B,陸上部,201908.0,70
高野 結那,B,,201905.0,65
高野 結那,B,,201908.0,54
牧野 孝博,B,弓道部,201905.0,62
牧野 孝博,B,弓道部,201908.0,81
楠本 愛花,B,,201905.0,89
楠本　愛花,B,,201908.0,76
勝又 舞香,B,写真部,201905.0,88
勝又 舞香,B,写真部,201908.0,79
相川 昭信,B,,201905.0,100
尾形 憲幸,B,剣道部,201905.0,67
尾形 憲幸,B,剣道部,201908.0,89
岡村 奈乃葉,B,文芸部,201905.0,71
岡村 奈乃葉,B,文芸部,201908.0,94
八木 佑希,B,,201905.0,50
八木 佑希,B,,201908.0,85
神野 奏輔,B,剣道部,201905.0,33
神野 奏輔,B,剣道部,201908.0,67
森川 俊雄,B,,201905.0,59
森川 俊雄,B,,201908.0,56
大澤 宗春,B,弓道部,201905.0,67
大澤 宗春,B,弓道部,201908.0,83
花田 龍平,C,,201905.0,84
花田 龍平,C,,201908.0,64
大橋 益穂,C,写真部,201905.0,84
大橋 益穂,C,写真部,201908.0,85
重田　凌一,C,,201905.0,58
根本 奈々香,C,,201905.0,71
細谷 義明,C,陸上部,201905.0,60
細谷 義明,C,陸上部,201908.0,82
日比野 和博,C,,201905.0,48
日比野 和博,C,,201908.0,74
多田 光二,C,陸上部,201905.0,42
多田　光二,C,陸上部,201908.0,79
森　紗名,C,,201905.0,37
森 紗名,C,,201908.0,70
真田 結依子,C,,201905.0,96
真田 結依子,C,,201908.0,93
堀 清華,C,文芸部,201905.0,56
堀 清華,C,文芸部,201908.0,61
明石 龍生,C,,201905.0,57
明石　龍生,C,,201908.0,75
中嶋 政斗,C,陸上部,201905.0,44
藤川　保幸,C,,201905.0,77
藤川　保幸,C,,201908.0,52
今 梨瑛,C,文芸部,201905.0,39
今 梨瑛,C,文芸部,201908.0,53
吉川 政斗,C,,201905.0,91
吉川 政斗,C,,201908.0,94
岡田 明久,C,,201905.0,76
岡田 明久,C,,201908.0,82
松永 紗恵,C,文芸部,201905.0,50
松永　紗恵,C,文芸部,201908.0,54
小杉 奈々香,C,文芸部,201905.0,85
小杉 奈々香,C,文芸部,201908.0,95
山田 文和,C,陸上部,201905.0,56
山田 文和,C,陸上部,201908.0,64
織田 俊道,C,,201905.0,46
織田　俊道,C,,201908.0,60
